(EchO) - Devoid of Illusions [2011] [Album] [24-44 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Intro                                                        |   0:45   |  08 MB  |
|    02    | Summoning the Crimson Soul                                   |   7:30   |  87 MB  |
|    03    | Unforgiven March                                             |   9:23   |  110 MB |
|    04    | The Coldest Land                                             |   9:08   |  106 MB |
|    05    | Internal Morphosis                                           |   9:17   |  105 MB |
|    06    | Omnivoid                                                     |   8:23   |  98 MB  |
|    07    | Disclaiming My Faults                                        |   7:22   |  89 MB  |
|    08    | Once Was a Man                                               |   6:44   |  78 MB  |
|    09    | Sounds From Out of Space (feat. Greg Chandler)               |   7:26   |  88 MB  |
|----------|--------------------------------------------------------------|----------|---------|

