(EchO) - Witnesses [2022] [Album] [24-48 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Lethargy                                                     |   0:56   |  13 MB  |
|    02    | Laudanum                                                     |   6:13   |  87 MB  |
|    03    | Fate Takes its Course                                        |   6:50   |  89 MB  |
|    04    | Wanderer                                                     |   6:19   |  86 MB  |
|    05    | My Covenant                                                  |   7:05   |  90 MB  |
|    06    | Monochrome                                                   |   7:26   |  99 MB  |
|    07    | Chemical                                                     |   6:47   |  93 MB  |
|    08    | Saturated                                                    |   7:27   |  90 MB  |
|----------|--------------------------------------------------------------|----------|---------|

