Ado - Ado 1st Live “Kigeki” (Live At Zepp DiverCity, 2022) [2026] [Live Album] [24-48 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Lucky Bruto (Live At Zepp DiverCity, 2022)                   |   3:36   |  47 MB  |
|    02    | Domestic Violence (Live At Zepp DiverCity, 2022)             |   2:43   |  37 MB  |
|    03    | Gira Gira (Live At Zepp DiverCity, 2022)                     |   4:41   |  59 MB  |
|    04    | Hanabi (Live At Zepp DiverCity, 2022)                        |   3:37   |  46 MB  |
|    05    | Yoru no Pierrot (Live At Zepp DiverCity, 2022)               |   3:24   |  47 MB  |
|    06    | Ashura-chan (Live At Zepp DiverCity, 2022)                   |   3:24   |  45 MB  |
|    07    | FREEDOM (Live At Zepp DiverCity, 2022)                       |   3:10   |  43 MB  |
|    08    | 会いたくて (Live At Zepp DiverCity, 2022)                         |   4:56   |  65 MB  |
|    09    | Basket Worm (Live At Zepp DiverCity, 2022)                   |   4:16   |  55 MB  |
|    10    | Readymade (Live At Zepp DiverCity, 2022)                     |   4:09   |  55 MB  |
|    11    | Kagakushuu (Live At Zepp DiverCity, 2022)                    |   3:43   |  49 MB  |
|    12    | Motherland (Live At Zepp DiverCity, 2022)                    |   4:30   |  58 MB  |
|    13    | Odo (Live At Zepp DiverCity, 2022)                           |   3:41   |  50 MB  |
|    14    | Usseewa (Live At Zepp DiverCity, 2022)                       |   3:28   |  48 MB  |
|    15    | Jama (Live At Zepp DiverCity, 2022)                          |   3:36   |  49 MB  |
|    16    | Kokoro to Iu Na no Fukakai (Live At Zepp DiverCity, 2022)    |   4:58   |  65 MB  |
|----------|--------------------------------------------------------------|----------|---------|

