Ado - Ado 2nd Live “Campanella” (Live At Saitama Super Arena, 2022) [2026] [Live Album] [24-48 ALAC - WEB]

|----------|----------------------------------------------------------------|----------|---------|
|   TRACK  |                              TITLE                             | DURATION |   SIZE  |
|----------|----------------------------------------------------------------|----------|---------|
|    01    | Yoru no Pierrot (Live At Saitama Super Arena, 2022)            |   3:22   |  47 MB  |
|    02    | Lucky Bruto (Live At Saitama Super Arena, 2022)                |   3:33   |  46 MB  |
|    03    | Rabuka? (Live At Saitama Super Arena, 2022)                    |   3:07   |  41 MB  |
|    04    | Domestic Violence (Live At Saitama Super Arena, 2022)          |   2:38   |  36 MB  |
|    05    | Gyakkou (Live At Saitama Super Arena, 2022)                    |   4:31   |  61 MB  |
|    06    | Watashi wa Saikyou (Live At Saitama Super Arena, 2022)         |   4:22   |  59 MB  |
|    07    | Readymade (Live At Saitama Super Arena, 2022)                  |   4:05   |  55 MB  |
|    08    | Ashura-chan (Live At Saitama Super Arena, 2022)                |   3:16   |  45 MB  |
|    09    | Kinmokusei (Live At Saitama Super Arena, 2022)                 |   2:23   |  33 MB  |
|    10    | Hanabi (Live At Saitama Super Arena, 2022)                     |   3:27   |  46 MB  |
|    11    | Aitakute (Live At Saitama Super Arena, 2022)                   |   4:55   |  64 MB  |
|    12    | Kagakushuu (Live At Saitama Super Arena, 2022)                 |   3:41   |  49 MB  |
|    13    | Darling Dance (Live At Saitama Super Arena, 2022)              |   3:31   |  48 MB  |
|    14    | FREEDOM (Live At Saitama Super Arena, 2022)                    |   3:28   |  46 MB  |
|    15    | Shikabanese (Live At Saitama Super Arena, 2022)                |   4:14   |  54 MB  |
|    16    | Eien no Akuruhi (Live At Saitama Super Arena, 2022)            |   4:05   |  51 MB  |
|    17    | Gira Gira (Live At Saitama Super Arena, 2022)                  |   4:41   |  61 MB  |
|    18    | Motherland (Live At Saitama Super Arena, 2022)                 |   4:23   |  58 MB  |
|    19    | Zaneri (Live At Saitama Super Arena, 2022)                     |   4:11   |  55 MB  |
|    20    | Kokoro to Iu Na no Fukakai (Live At Saitama Super Arena, 2022) |   5:00   |  66 MB  |
|    21    | Shin Jidai (Live At Saitama Super Arena, 2022)                 |   4:02   |  53 MB  |
|    22    | Tsumi to Batsu (Live At Saitama Super Arena, 2022)             |   4:57   |  64 MB  |
|    23    | Usseewa (Live At Saitama Super Arena, 2022)                    |   3:29   |  47 MB  |
|    24    | Odo (Live At Saitama Super Arena, 2022)                        |   4:29   |  60 MB  |
|----------|----------------------------------------------------------------|----------|---------|

