Ado - Ado JAPAN TOUR 2024 “Mona Lisa no Yokogao” (Live At K-Arena Yokohama, 2024) [2026] [Live Album] [24-48 FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Kokoro to Iu Na no Fukakai (Live At K-Arena Yokohama, 2024)  |   4:37   |  60 MB  |
|    02    | Gyakkou (Live At K-Arena Yokohama, 2024)                     |   4:08   |  56 MB  |
|    03    | Show (Live At K-Arena Yokohama, 2024)                        |   3:20   |  44 MB  |
|    04    | Utakata Lullaby (Live At K-Arena Yokohama, 2024)             |   3:01   |  41 MB  |
|    05    | Rebellion (Live At K-Arena Yokohama, 2024)                   |   3:06   |  42 MB  |
|    06    | Kagakushuu (Live At K-Arena Yokohama, 2024)                  |   3:44   |  49 MB  |
|    07    | Aitakute (Live At K-Arena Yokohama, 2024)                    |   4:59   |  64 MB  |
|    08    | Faking of Comedy (Live At K-Arena Yokohama, 2024)            |   3:17   |  45 MB  |
|    09    | Hungry Nicole (Live At K-Arena Yokohama, 2024)               |   4:57   |  65 MB  |
|    10    | MIRROR (Live At K-Arena Yokohama, 2024)                      |   3:07   |  40 MB  |
|    11    | RuLe (Live At K-Arena Yokohama, 2024)                        |   3:21   |  45 MB  |
|    12    | Watashi wa Saikyou (Live At K-Arena Yokohama, 2024)          |   3:21   |  44 MB  |
|    13    | Kura Kura (Live At K-Arena Yokohama, 2024)                   |   3:32   |  47 MB  |
|    14    | Chocolat Cadabra (Live At K-Arena Yokohama, 2024)            |   3:12   |  42 MB  |
|    15    | Nukegara (Live At K-Arena Yokohama, 2024)                    |   3:45   |  48 MB  |
|    16    | Yoru no Pierrot (Live At K-Arena Yokohama, 2024)             |   3:30   |  46 MB  |
|    17    | All Night Radio (Live At K-Arena Yokohama, 2024)             |   3:42   |  49 MB  |
|    18    | Value (Live At K-Arena Yokohama, 2024)                       |   3:14   |  41 MB  |
|    19    | Tachiiri Kinshi (Live At K-Arena Yokohama, 2024)             |   3:37   |  47 MB  |
|    20    | FREEDOM (Live At K-Arena Yokohama, 2024)                     |   4:44   |  62 MB  |
|    21    | Hello Signals (Live At K-Arena Yokohama, 2024)               |   4:18   |  56 MB  |
|    22    | Ano Band (Live At K-Arena Yokohama, 2024)                    |   3:34   |  48 MB  |
|    23    | Shoka (Live At K-Arena Yokohama, 2024)                       |   4:17   |  56 MB  |
|----------|--------------------------------------------------------------|----------|---------|

