Ado - Ado Special Live 2024 “Shinzou” (Live At Kokuritsu Kyougijou, 2024) [2026] [Live Album] [24-48 ALAC - WEB]

|----------|-------------------------------------------------------------------|----------|---------|
|   TRACK  |                               TITLE                               | DURATION |   SIZE  |
|----------|-------------------------------------------------------------------|----------|---------|
|    01    | Usseewa (Live At Kokuritsu Kyougijou, 2024)                       |   3:34   |  49 MB  |
|    02    | Tot Musica (Live At Kokuritsu Kyougijou, 2024)                    |   3:22   |  44 MB  |
|    03    | Lucky Bruto (Live At Kokuritsu Kyougijou, 2024)                   |   3:34   |  47 MB  |
|    04    | Domestic Violence (Live At Kokuritsu Kyougijou, 2024)             |   2:41   |  36 MB  |
|    05    | Aishite Aishite Aishite (Live At Kokuritsu Kyougijou, 2024)       |   4:17   |  56 MB  |
|    06    | Kagakushuu (Live At Kokuritsu Kyougijou, 2024)                    |   3:42   |  49 MB  |
|    07    | Motherland (Live At Kokuritsu Kyougijou, 2024)                    |   4:26   |  59 MB  |
|    08    | Gira Gira (Live At Kokuritsu Kyougijou, 2024)                     |   4:38   |  59 MB  |
|    09    | Eien no Akuruhi (Live At Kokuritsu Kyougijou, 2024)               |   7:23   |  92 MB  |
|    10    | Watashi wa Saikyou (Live At Kokuritsu Kyougijou, 2024)            |   4:29   |  60 MB  |
|    11    | Readymade (Live At Kokuritsu Kyougijou, 2024)                     |   4:18   |  56 MB  |
|    12    | Kura Kura (Live At Kokuritsu Kyougijou, 2024)                     |   3:15   |  44 MB  |
|    13    | Chocolat Cadabra (Live At Kokuritsu Kyougijou, 2024)              |   3:10   |  42 MB  |
|    14    | Value (Live At Kokuritsu Kyougijou, 2024)                         |   3:11   |  41 MB  |
|    15    | Hello Signals (Live At Kokuritsu Kyougijou, 2024)                 |   3:21   |  45 MB  |
|    16    | Ibara (Live At Kokuritsu Kyougijou, 2024)                         |   4:24   |  58 MB  |
|    17    | Show (Live At Kokuritsu Kyougijou, 2024)                          |   3:27   |  46 MB  |
|    18    | Odo (Live At Kokuritsu Kyougijou, 2024)                           |   3:57   |  53 MB  |
|    19    | Shin Jidai (Live At Kokuritsu Kyougijou, 2024)                    |   4:25   |  59 MB  |
|    20    | Strings of My Soul 2024 (Live At Kokuritsu Kyougijou, 2024)       |   1:49   |  22 MB  |
|    21    | DIGNITY (Live At Kokuritsu Kyougijou, 2024)                       |   4:13   |  53 MB  |
|    22    | Yukue Shirezu (Live At Kokuritsu Kyougijou, 2024)                 |   3:18   |  44 MB  |
|    23    | Gyakkou (Live At Kokuritsu Kyougijou, 2024)                       |   4:01   |  55 MB  |
|    24    | FREEDOM (Live At Kokuritsu Kyougijou, 2024)                       |   4:36   |  61 MB  |
|    25    | Sakura Biyori to Time Machine (Live At Kokuritsu Kyougijou, 2024) |   5:38   |  72 MB  |
|    26    | Kokoro to Iu Na no Fukakai (Live At Kokuritsu Kyougijou, 2024)    |   5:19   |  69 MB  |
|----------|-------------------------------------------------------------------|----------|---------|

