Ado - Ado no Utattemita Album [2023] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Dried Flower                                                 |   4:48   |  33 MB  |
|    02    | Kazari Janai no yo Namida wa                                 |   4:12   |  33 MB  |
|    03    | Aishite Aishite Aishite                                      |   4:18   |  32 MB  |
|    04    | Tsumi to Batsu                                               |   4:50   |  35 MB  |
|    05    | Kawaikute Gomen                                              |   3:39   |  30 MB  |
|    06    | Villain                                                      |   3:19   |  26 MB  |
|    07    | Kamippoi na                                                  |   3:24   |  27 MB  |
|    08    | unravel                                                      |   3:58   |  31 MB  |
|    09    | Buriki no Dance                                              |   3:18   |  27 MB  |
|    10    | Yoake to Hotaru                                              |   5:08   |  34 MB  |
|----------|--------------------------------------------------------------|----------|---------|

