Alice Nine - Complete Collection 2006-2009 [2010] [Best Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Kowloon -NINE HEADS RODEO SHOW-                              |   4:37   |  37 MB  |
|    02    | FANTASY                                                      |   5:26   |  41 MB  |
|    03    | Velvet                                                       |   5:14   |  41 MB  |
|    04    | NUMBER SIX.                                                  |   5:34   |  43 MB  |
|    05    | JEWELS                                                       |   4:47   |  37 MB  |
|    06    | WHITE PRAYER                                                 |   4:00   |  32 MB  |
|    07    | TSUBASA.                                                     |   4:58   |  40 MB  |
|    08    | cosmic world                                                 |   5:07   |  40 MB  |
|    09    | Blue Planet                                                  |   3:15   |  24 MB  |
|    10    | MIRROR BALL                                                  |   4:40   |  37 MB  |
|    11    | RAINBOWS                                                     |   4:47   |  39 MB  |
|    12    | the beautiful name                                           |   5:39   |  41 MB  |
|    13    | Hana                                                         |   4:53   |  41 MB  |
|----------|--------------------------------------------------------------|----------|---------|

