Alice Nine - VANDALIZE [2009] [Album] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | the beautiful name                                           |   5:38   |  41 MB  |
|    02    | Hyakka Ryoran                                                |   3:48   |  33 MB  |
|    03    | RAINBOWS                                                     |   4:48   |  38 MB  |
|    04    | Kiss twice, Kiss me deadly                                   |   4:27   |  35 MB  |
|    05    | CROSS GAME                                                   |   3:47   |  31 MB  |
|    06    | Subaru                                                       |   6:26   |  46 MB  |
|    07    | www.                                                         |   3:45   |  31 MB  |
|    08    | Drella                                                       |   5:14   |  42 MB  |
|    09    | MIRROR BALL (VANDALIZE EDITION)                              |   6:15   |  36 MB  |
|    10    | Innocence                                                    |   4:13   |  34 MB  |
|    11    | Waterfall                                                    |   6:23   |  50 MB  |
|----------|--------------------------------------------------------------|----------|---------|

