Amon Amarth - Berserker [2019] [Album] [24-44 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Fafner's Gold                                                |   5:00   |  64 MB  |
|    02    | Crack the Sky                                                |   3:50   |  49 MB  |
|    03    | Mjölner, Hammer of Thor                                      |   4:43   |  61 MB  |
|    04    | Shield Wall                                                  |   3:47   |  48 MB  |
|    05    | Valkyria                                                     |   4:44   |  60 MB  |
|    06    | Raven's Flight                                               |   5:21   |  69 MB  |
|    07    | Ironside                                                     |   4:31   |  57 MB  |
|    08    | The Berserker at Stamford Bridge                             |   5:15   |  67 MB  |
|    09    | When Once Again We Can Set Our Sails                         |   4:26   |  57 MB  |
|    10    | Skoll and Hati                                               |   4:28   |  58 MB  |
|    11    | Wings of Eagles                                              |   4:04   |  54 MB  |
|    12    | Into the Dark                                                |   6:48   |  85 MB  |
|----------|--------------------------------------------------------------|----------|---------|

