Amon Amarth - Surtur Rising [2011] [Album] [24-96 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | War of the Gods                                              |   4:33   |  104 MB |
|    02    | Loke's Treachery, Part II: Töck's Taunt                      |   5:58   |  135 MB |
|    03    | Destroyer of the Universe                                    |   3:41   |  86 MB  |
|    04    | Slaves of Fear                                               |   4:25   |  100 MB |
|    05    | Live Without Regrets                                         |   5:03   |  113 MB |
|    06    | The Last Stand of Frej                                       |   5:37   |  124 MB |
|    07    | For Victory or Death                                         |   4:30   |  102 MB |
|    08    | Wrath of the Norsemen                                        |   3:44   |  85 MB  |
|    09    | A Beast Am I                                                 |   3:37   |  83 MB  |
|    10    | Doom Over Dead Man                                           |   5:55   |  130 MB |
|    11    | Aerials                                                      |   3:39   |  80 MB  |
|----------|--------------------------------------------------------------|----------|---------|

