Amon Amarth - The Crusher (Bonus Edition) [2001] [Album] [24-44 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Bastards of a Lying Breed                                    |   5:34   |  72 MB  |
|    02    | Masters of War                                               |   4:34   |  59 MB  |
|    03    | The Sound of Eight Hooves                                    |   4:51   |  64 MB  |
|    04    | Risen from the Sea                                           |   4:27   |  59 MB  |
|    05    | As Long As the Raven Flies                                   |   4:04   |  51 MB  |
|    06    | A Fury Divine                                                |   6:36   |  85 MB  |
|    07    | Annihilation of Hammerfest                                   |   5:04   |  65 MB  |
|    08    | The Fall Through Ginnungagap                                 |   5:22   |  70 MB  |
|    09    | Releasing Surtur's Fire                                      |   5:31   |  70 MB  |
|    10    | Eyes of Horror (Bonus Track)                                 |   3:35   |  45 MB  |
|    11    | Bastards of a Lying Breed (Live)                             |   5:39   |  71 MB  |
|    12    | Masters of War (Live)                                        |   5:10   |  64 MB  |
|    13    | The Sound of Eight Hooves (Live)                             |   5:02   |  64 MB  |
|    14    | Risen from the Sea (Live)                                    |   4:24   |  55 MB  |
|    15    | As Long As the Raven Flies (Live)                            |   3:36   |  45 MB  |
|    16    | A Fury Divine (Live)                                         |   6:09   |  78 MB  |
|    17    | Annihilation of Hammerfest (Live)                            |   5:14   |  65 MB  |
|    18    | The Fall Through Ginnungagap (Live)                          |   5:40   |  71 MB  |
|    19    | Releasing Surtur's Fire (Live)                               |   5:16   |  66 MB  |
|----------|--------------------------------------------------------------|----------|---------|

