Amon Amarth - Twilight of the Thunder God [2008] [Album] [24-44 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Twilight of the Thunder God                                  |   4:08   |  53 MB  |
|    02    | Free Will Sacrifice                                          |   4:08   |  53 MB  |
|    03    | Guardians of Asgaard                                         |   4:23   |  56 MB  |
|    04    | Where Is Your God?                                           |   3:11   |  41 MB  |
|    05    | Varyags of Miklagaard                                        |   4:18   |  54 MB  |
|    06    | Tattered Banners and Bloody Flags                            |   4:30   |  57 MB  |
|    07    | No Fear for the Setting Sun                                  |   3:52   |  50 MB  |
|    08    | The Hero                                                     |   4:01   |  50 MB  |
|    09    | Live for the Kill                                            |   4:09   |  52 MB  |
|    10    | Embrace of the Endless Ocean                                 |   6:44   |  83 MB  |
|----------|--------------------------------------------------------------|----------|---------|

