Amon Amarth - Versus the World (Viking Edition) [2002] [Album] [24-44 ALAC - WEB]

|----------|------------------------------------------------------------------|----------|---------|
|   TRACK  |                               TITLE                              | DURATION |   SIZE  |
|----------|------------------------------------------------------------------|----------|---------|
|    01    | Death In Fire                                                    |   4:54   |  64 MB  |
|    02    | For the Stabwounds In Our Backs                                  |   4:56   |  64 MB  |
|    03    | Where Silent Gods Stand Guard                                    |   5:46   |  76 MB  |
|    04    | Versus the World                                                 |   5:21   |  71 MB  |
|    05    | Across the Rainbow Bridge                                        |   4:50   |  63 MB  |
|    06    | Down the Slopes of Death                                         |   4:08   |  54 MB  |
|    07    | Thousand Years of Oppression                                     |   5:41   |  74 MB  |
|    08    | Bloodshed                                                        |   5:13   |  68 MB  |
|    09    | ...And Soon the World Will Cease to Be                           |   6:57   |  91 MB  |
|    01    | Siegreicher Marsch (Victorious March)                            |   7:56   |  105 MB |
|    02    | Sorrow Throughout the Nine Worlds                                |   3:54   |  52 MB  |
|    03    | The Arrival of Fimbul Winter                                     |   4:28   |  59 MB  |
|    04    | Burning Creation                                                 |   5:00   |  66 MB  |
|    05    | The Mighty Doors of the Speargod's Hall                          |   5:44   |  76 MB  |
|    06    | Under the Greyclouded Winter Sky                                 |   5:37   |  74 MB  |
|    07    | Burning Creation (Arrival of the Fimbul Winter Demo)             |   4:50   |  61 MB  |
|    08    | Arrival of the Fimbul Winter (Arrival of the Fimbul Winter Demo) |   4:40   |  60 MB  |
|    09    | Without Fear (Arrival of the Fimbul Winter Demo)                 |   4:44   |  61 MB  |
|    10    | Risen from the Sea (Thor Arise Demo)                             |   5:45   |  74 MB  |
|    11    | Atrocious Humanity (Thor Arise Demo)                             |   5:56   |  76 MB  |
|    12    | Army of Darkness (Thor Arise Demo)                               |   5:28   |  69 MB  |
|    13    | Thor Arise (Thor Arise Demo)                                     |   6:32   |  82 MB  |
|    14    | Sabbath Bloody Sabbath (Thor Arise Demo)                         |   4:22   |  55 MB  |
|----------|------------------------------------------------------------------|----------|---------|

