Aut Mori - Pervaja Sleza Oseni [2012] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Pervaja Sleza Oseni                                          |   1:41   |  10 MB  |
|    02    | Moja Pesnja - Tishina                                        |   5:24   |  41 MB  |
|    03    | Nebo                                                         |   6:31   |  48 MB  |
|    04    | Proshhaj                                                     |   6:10   |  47 MB  |
|    05    | Moj Vechnyj Dozhd'                                           |   6:30   |  48 MB  |
|    06    | Zhdi                                                         |   5:14   |  39 MB  |
|    07    | Jelegija Bezmjatezhnosti                                     |   6:42   |  51 MB  |
|    08    | Na Scene Osen'                                               |   6:43   |  50 MB  |
|----------|--------------------------------------------------------------|----------|---------|

