Disturbed - Asylum (Deluxe Edition) [2010] [Album] [24-96 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Remnants                                                     |   2:43   |  56 MB  |
|    02    | Asylum                                                       |   4:36   |  104 MB |
|    03    | The Infection                                                |   4:08   |  98 MB  |
|    04    | Warrior                                                      |   3:24   |  81 MB  |
|    05    | Another Way to Die                                           |   4:13   |  98 MB  |
|    06    | Never Again                                                  |   3:33   |  82 MB  |
|    07    | The Animal                                                   |   4:13   |  97 MB  |
|    08    | Crucified                                                    |   4:36   |  107 MB |
|    09    | Serpentine                                                   |   4:09   |  96 MB  |
|    10    | My Child                                                     |   3:18   |  76 MB  |
|    11    | Sacrifice                                                    |   4:00   |  94 MB  |
|    12    | Innocence                                                    |   4:32   |  103 MB |
|    13    | Ishfwilf                                                     |   3:50   |  88 MB  |
|    14    | Leave It Alone                                               |   4:06   |  32 MB  |
|    15    | Down with the Sickness (Live)                                |   5:53   |  45 MB  |
|    16    | Stricken (Live)                                              |   4:17   |  33 MB  |
|----------|--------------------------------------------------------------|----------|---------|

