Disturbed - Believe [2002] [Album] [24-192 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Prayer                                                       |   3:41   |  137 MB |
|    02    | Liberate                                                     |   3:30   |  129 MB |
|    03    | Awaken                                                       |   4:29   |  164 MB |
|    04    | Believe                                                      |   4:27   |  163 MB |
|    05    | Remember                                                     |   4:11   |  153 MB |
|    06    | Intoxication                                                 |   3:14   |  120 MB |
|    07    | Rise                                                         |   3:57   |  146 MB |
|    08    | Mistress                                                     |   3:46   |  138 MB |
|    09    | Breathe                                                      |   4:21   |  160 MB |
|    10    | Bound                                                        |   3:53   |  143 MB |
|    11    | Devour                                                       |   3:52   |  143 MB |
|    12    | Darkness                                                     |   3:55   |  137 MB |
|----------|--------------------------------------------------------------|----------|---------|

