Disturbed - Immortalized (Deluxe Edition) [2015] [Album] [24-48 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | The Eye of the Storm                                         |   1:20   |  15 MB  |
|    02    | Immortalized                                                 |   4:17   |  60 MB  |
|    03    | The Vengeful One                                             |   4:12   |  58 MB  |
|    04    | Open Your Eyes                                               |   3:57   |  54 MB  |
|    05    | The Light                                                    |   4:16   |  57 MB  |
|    06    | What Are You Waiting For                                     |   4:03   |  54 MB  |
|    07    | You’re Mine                                                  |   4:55   |  66 MB  |
|    08    | Who                                                          |   4:46   |  64 MB  |
|    09    | Save Our Last Goodbye                                        |   4:59   |  65 MB  |
|    10    | Fire It Up                                                   |   4:05   |  53 MB  |
|    11    | The Sound of Silence                                         |   4:08   |  48 MB  |
|    12    | Never Wrong                                                  |   3:33   |  48 MB  |
|    13    | Who Taught You How to Hate                                   |   4:57   |  68 MB  |
|    14    | Tyrant                                                       |   3:49   |  50 MB  |
|    15    | Legion of Monsters                                           |   4:23   |  61 MB  |
|    16    | The Brave and the Bold                                       |   4:33   |  62 MB  |
|----------|--------------------------------------------------------------|----------|---------|

