Disturbed - Ten Thousand Fists [2005] [Album] [24-192 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Ten Thousand Fists                                           |   3:32   |  133 MB |
|    02    | Just Stop                                                    |   3:45   |  141 MB |
|    03    | Guarded                                                      |   3:21   |  127 MB |
|    04    | Deify                                                        |   4:17   |  161 MB |
|    05    | Stricken                                                     |   4:06   |  156 MB |
|    06    | I'm Alive                                                    |   4:41   |  177 MB |
|    07    | Sons of Plunder                                              |   3:49   |  145 MB |
|    08    | Overburdened                                                 |   5:58   |  218 MB |
|    09    | Decadence                                                    |   3:26   |  129 MB |
|    10    | Forgiven                                                     |   4:14   |  159 MB |
|    11    | Land of Confusion                                            |   4:49   |  181 MB |
|    12    | Sacred Lie                                                   |   3:07   |  117 MB |
|    13    | Pain Redefined                                               |   4:09   |  155 MB |
|    14    | Avarice                                                      |   2:55   |  111 MB |
|    15    | Monster                                                      |   4:03   |  32 MB  |
|----------|--------------------------------------------------------------|----------|---------|

