Draconian - Arcane Rain Fell [2005] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | A Scenery of Loss                                            |   9:10   |  65 MB  |
|    02    | Daylight Misery                                              |   5:30   |  40 MB  |
|    03    | The Apostacy Canticle                                        |   9:51   |  73 MB  |
|    04    | Expostulation                                                |   2:05   |  13 MB  |
|    05    | Heaven Laid in Tears                                         |   6:54   |  50 MB  |
|    06    | The Abhorrent Rays                                           |   5:32   |  43 MB  |
|    07    | The Everlasting Scar                                         |   6:00   |  46 MB  |
|    08    | Death, Come Near Me                                          |   15:22  |  102 MB |
|----------|--------------------------------------------------------------|----------|---------|

