Draconian - Under a Godless Veil [2020] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Sorrow of Sophia                                             |   7:28   |  46 MB  |
|    02    | The Sacrificial Flame                                        |   7:30   |  55 MB  |
|    03    | Lustrous Heart                                               |   4:47   |  33 MB  |
|    04    | Sleepwalkers                                                 |   6:44   |  44 MB  |
|    05    | Moon over Sabaoth                                            |   5:53   |  41 MB  |
|    06    | Burial Fields                                                |   4:34   |  29 MB  |
|    07    | The Sethian                                                  |   6:51   |  49 MB  |
|    08    | Claw Marks on the Throne                                     |   5:42   |  38 MB  |
|    09    | Night Visitor                                                |   3:48   |  24 MB  |
|    10    | Ascend into Darkness                                         |   8:54   |  61 MB  |
|----------|--------------------------------------------------------------|----------|---------|

