Eri Kitamura - IMPACT!!!SCREAM [2026] [Album] [24-48 FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | As U Wish                                                    |   4:32   |  64 MB  |
|    02    | Kyouran Meltdown                                             |   3:56   |  57 MB  |
|    03    | EVILALIVE (re-mastered)                                      |   4:02   |  60 MB  |
|    04    | Otsu (re-mastered)                                           |   4:14   |  60 MB  |
|    05    | KillER KillER (re-mastered)                                  |   4:01   |  58 MB  |
|    06    | Roar of Shangri-La (re-mastered)                             |   3:55   |  56 MB  |
|    07    | Utakata                                                      |   4:20   |  61 MB  |
|    08    | Nijiiro (re-mastered)                                        |   3:59   |  55 MB  |
|    09    | I SCREAM NOISE MAKER (re-mastered)                           |   4:00   |  59 MB  |
|    10    | Uryaoi                                                       |   3:59   |  58 MB  |
|----------|--------------------------------------------------------------|----------|---------|

