Eri Kitamura - IЯiDÉSCEИT%V!SIØN [2022] [Album] [24-96 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | D!zzy... &                                                   |   3:54   |  90 MB  |
|    02    | SynApsE                                                      |   3:15   |  75 MB  |
|    03    | Egowizumu                                                    |   3:22   |  75 MB  |
|    04    | ANGER%                                                       |   5:12   |  127 MB |
|    05    | Kindan Kajitsu                                               |   3:12   |  73 MB  |
|    06    | Belief in Oneself                                            |   3:29   |  78 MB  |
|    07    | SH!NE GO!NG UP                                               |   4:23   |  105 MB |
|    08    | HOLy×SH!T                                                    |   4:29   |  111 MB |
|    09    | ETERNiTY                                                     |   4:32   |  109 MB |
|    10    | Nijiiro                                                      |   3:59   |  74 MB  |
|    11    | Egoizumu (-Pf MiX-)                                          |   3:33   |  67 MB  |
|    12    | Kindan Kajitsu (-Pf MiX-)                                    |   3:22   |  64 MB  |
|    13    | SH!NE GO!NG UP (-Pf MiX-)                                    |   3:40   |  69 MB  |
|----------|--------------------------------------------------------------|----------|---------|

