Faouzia - CITIZENS [2022] [Album] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | RIP, Love                                                    |   2:53   |  18 MB  |
|    02    | Thick and Thin                                               |   2:42   |  18 MB  |
|    03    | Anybody Else                                                 |   3:20   |  22 MB  |
|    04    | SoLie                                                        |   2:22   |  27 MB  |
|    05    | I Know                                                       |   2:55   |  17 MB  |
|    06    | Don't Tell Me I'm Pretty                                     |   3:00   |  16 MB  |
|    07    | Minefields                                                   |   3:10   |  39 MB  |
|    08    | Puppet                                                       |   2:55   |  37 MB  |
|----------|--------------------------------------------------------------|----------|---------|

