Faouzia - FILM NOIR (fin) [2026] [Album] [24-48 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | LOST MY MIND IN PARIS                                        |   3:09   |  41 MB  |
|    02    | PEACE & VIOLENCE                                             |   2:56   |  40 MB  |
|    03    | UNETHICAL                                                    |   3:39   |  47 MB  |
|    04    | TOUS CES MOTS                                                |   1:55   |  25 MB  |
|    05    | SWEET FEVER                                                  |   3:29   |  46 MB  |
|    06    | DON'T EVER LEAVE ME                                          |   3:53   |  54 MB  |
|    07    | DESERT ROSE                                                  |   3:27   |  42 MB  |
|    08    | WEIRDO                                                       |   2:56   |  39 MB  |
|    09    | PORCELAIN                                                    |   4:05   |  30 MB  |
|    10    | ORNAMENT                                                     |   2:54   |  38 MB  |
|    11    | PRETTY STRANGER                                              |   2:44   |  34 MB  |
|    12    | BIRTHDAY                                                     |   3:40   |  49 MB  |
|    13    | YOU'RE A NUISANCE                                            |   3:07   |  40 MB  |
|    14    | we'll have a family someday                                  |   4:07   |  57 MB  |
|----------|--------------------------------------------------------------|----------|---------|

