Fleshgod Apocalypse - King [2016] [Album] [24-48 ALAC - WEB]

Album Version
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Marche Royale                                                |   1:57   |  25 MB  |
|    02    | In Aeternum                                                  |   5:25   |  75 MB  |
|    03    | Healing Through War                                          |   4:43   |  65 MB  |
|    04    | The Fool                                                     |   4:06   |  57 MB  |
|    05    | Cold as Perfection                                           |   6:31   |  89 MB  |
|    06    | Mitra                                                        |   3:49   |  53 MB  |
|    07    | Paramour (Die Leidenschaft bringt Leiden)                    |   3:42   |  41 MB  |
|    08    | And the Vulture Beholds                                      |   5:12   |  73 MB  |
|    09    | Gravity                                                      |   5:12   |  72 MB  |
|    10    | A Million Deaths                                             |   5:27   |  75 MB  |
|    11    | Syphilis                                                     |   7:22   |  96 MB  |
|    12    | King                                                         |   3:59   |  40 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Bonus CD - Orchestral Version
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Marche Royale (Orchestral Version)                           |   1:57   |  24 MB  |
|    02    | In Aeternum (Orchestral Version)                             |   5:27   |  67 MB  |
|    03    | Healing Through War (Orchestral Version)                     |   4:43   |  57 MB  |
|    04    | The Fool (Orchestral Version)                                |   4:06   |  50 MB  |
|    05    | Cold as Perfection (Orchestral Version)                      |   6:32   |  76 MB  |
|    06    | Mitra (Orchestral Version)                                   |   3:46   |  44 MB  |
|    07    | And the Vulture Beholds (Orchestral Version)                 |   5:12   |  62 MB  |
|    08    | Gravity (Orchestral Version)                                 |   5:11   |  62 MB  |
|    09    | A Million Deaths (Orchestral Version)                        |   5:27   |  65 MB  |
|    10    | Syphilis (Orchestral Version)                                |   7:15   |  81 MB  |
|----------|--------------------------------------------------------------|----------|---------|

