Fleshgod Apocalypse - Opera [2024] [Album] [24-44 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Ode To Art (De' Sepolcri)                                    |   2:18   |  24 MB  |
|    02    | I Can Never Die                                              |   4:30   |  59 MB  |
|    03    | Pendulum                                                     |   3:58   |  52 MB  |
|    04    | Bloodclock                                                   |   5:14   |  66 MB  |
|    05    | At War With My Soul                                          |   5:06   |  66 MB  |
|    06    | Morphine Waltz                                               |   3:36   |  48 MB  |
|    07    | Matricide 8.21                                               |   5:35   |  68 MB  |
|    08    | Per Aspera Ad Astra                                          |   4:48   |  62 MB  |
|    09    | Till Death Do Us Part                                        |   5:31   |  68 MB  |
|    10    | Opera                                                        |   2:44   |  25 MB  |
|----------|--------------------------------------------------------------|----------|---------|

