GALNERYUS - A CRY FROM THE SKY ABOVE [2026] [Album] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | CALL OF THE HORIZON                                          |   3:05   |  24 MB  |
|    02    | THE LIGHT OF HOPE                                            |   8:47   |  70 MB  |
|    03    | LET NO TIME DECAY                                            |   6:41   |  52 MB  |
|    04    | BEYOND THE SUNRISE                                           |   6:24   |  49 MB  |
|    05    | BREAK THE SILENCE!                                           |   7:57   |  61 MB  |
|    06    | TO THE LAST BREATH                                           |   5:28   |  42 MB  |
|    07    | ECHOES OF FATE                                               |   7:35   |  54 MB  |
|    08    | WITHOUT YOU                                                  |   15:13  |  115 MB |
|    09    | WHERE YOU WERE                                               |   4:28   |  21 MB  |
|----------|--------------------------------------------------------------|----------|---------|

