GALNERYUS - ADVANCE TO THE FALL [2005] [Album] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | STILLNESS DAWN                                               |   1:08   |  06 MB  |
|    02    | SILENT REVELATION                                            |   5:58   |  45 MB  |
|    03    | ANCIENT RAGE                                                 |   4:01   |  32 MB  |
|    04    | FATE OF THE SADNESS                                          |   6:26   |  49 MB  |
|    05    | DEEP AFFECTION                                               |   7:24   |  57 MB  |
|    06    | DREAM PLACE                                                  |   5:05   |  41 MB  |
|    07    | GLORIOUS AGGRESSOR                                           |   2:08   |  18 MB  |
|    08    | WHISPER IN THE RED SKY                                       |   6:05   |  48 MB  |
|    09    | THE SCENERY                                                  |   5:37   |  45 MB  |
|    10    | ETERNAL REGRET                                               |   5:40   |  38 MB  |
|    11    | QUIET WISH                                                   |   5:41   |  45 MB  |
|    12    | FLY WITH RED WINDs                                           |   2:51   |  19 MB  |
|    13    | UNDER THREAT                                                 |   5:32   |  44 MB  |
|----------|--------------------------------------------------------------|----------|---------|

