GALNERYUS - ANGEL OF SALVATION (Korean Edition) [2012] [Album] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | REACH TO THE SKY                                             |   2:30   |  18 MB  |
|    02    | THE PROMISED FLAG                                            |   6:18   |  50 MB  |
|    03    | TEMPTATION THROUGH THE NIGHT                                 |   6:11   |  48 MB  |
|    04    | LONELY AS A STRANGER                                         |   5:53   |  47 MB  |
|    05    | STAND UP FOR THE RIGHT                                       |   6:55   |  54 MB  |
|    06    | HUNTING FOR YOUR DREAM                                       |   5:24   |  43 MB  |
|    07    | LAMENT                                                       |   5:14   |  41 MB  |
|    08    | INFINITY                                                     |   6:19   |  49 MB  |
|    09    | ANGEL OF SALVATION                                           |   14:41  |  113 MB |
|    10    | LONGING                                                      |   4:53   |  34 MB  |
|----------|--------------------------------------------------------------|----------|---------|

