GALNERYUS - BEST OF THE AWAKENING DAYS [2009] [Album] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | THE AWAKENING                                                |   7:07   |  51 MB  |
|    02    | NEW LEGEND                                                   |   5:27   |  40 MB  |
|    03    | SHINING MOMENTS                                              |   4:37   |  33 MB  |
|    04    | BLEED IN CHAOS                                               |   4:59   |  35 MB  |
|    05    | STARDUST                                                     |   5:23   |  38 MB  |
|    06    | SIGN OF REVOLUTION                                           |   5:35   |  44 MB  |
|    07    | SERENADE                                                     |   5:50   |  41 MB  |
|    08    | CHASING THE WIND                                             |   6:23   |  45 MB  |
|    09    | ALSATIA                                                      |   5:20   |  40 MB  |
|    10    | CRY FOR THE DARK                                             |   5:30   |  42 MB  |
|    11    | SEASONS CRY                                                  |   5:58   |  43 MB  |
|    12    | EVERLASTING                                                  |   5:02   |  40 MB  |
|    13    | Owari naki, kono uta                                         |   7:29   |  53 MB  |
|----------|--------------------------------------------------------------|----------|---------|

