GALNERYUS - BEST OF THE BRAVING DAYS [2009] [Album] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | BRAVING FLAG                                                 |   4:41   |  38 MB  |
|    02    | WHISPER IN THE RED SKY                                       |   6:06   |  48 MB  |
|    03    | SHRIEK OF THE VENGEANCE                                      |   4:39   |  37 MB  |
|    04    | REBEL FLAG                                                   |   4:27   |  35 MB  |
|    05    | SHIVER                                                       |   7:09   |  55 MB  |
|    06    | THE SCENERY                                                  |   5:36   |  44 MB  |
|    07    | RAID AGAIN                                                   |   4:34   |  37 MB  |
|    08    | FINAL RESOLUTION                                             |   5:43   |  46 MB  |
|    09    | POINT OF NO RETURN                                           |   6:09   |  49 MB  |
|    10    | STRUGGLE FOR THE FREEDOM FLAG                                |   5:42   |  46 MB  |
|    11    | MY LAST FAREWELL                                             |   5:06   |  42 MB  |
|    12    | QUIET WISH                                                   |   5:40   |  44 MB  |
|    13    | UNITED FLAG                                                  |   5:55   |  48 MB  |
|    14    | SILENT REVELATION                                            |   6:02   |  45 MB  |
|----------|--------------------------------------------------------------|----------|---------|

