GALNERYUS - BETWEEN DREAD AND VALOR [2023] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | DEMOLISH THE WICKEDNESS!                                     |   1:54   |  15 MB  |
|    02    | RUN TO THE EDGE                                              |   8:57   |  72 MB  |
|    03    | TIME WILL TELL                                               |   5:35   |  45 MB  |
|    04    | LET US SHINE                                                 |   6:19   |  52 MB  |
|    05    | WITH PRIDE                                                   |   4:48   |  40 MB  |
|    06    | BRAVEHEARTS                                                  |   7:06   |  57 MB  |
|    07    | A PIECE OF SOULS                                             |   2:07   |  14 MB  |
|    08    | Inori                                                        |   4:45   |  34 MB  |
|----------|--------------------------------------------------------------|----------|---------|

