GALNERYUS - FALLING INTO THE FLAMES OF PURGATORY [2020] [Live Album] [FLAC - CD]

Disc 1
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | INTRODUCTION (SE)                                            |   1:22   |  08 MB  |
|    02    | PURGATORIAL FLAME                                            |   2:58   |  23 MB  |
|    03    | MY HOPE IS GONE                                              |   7:10   |  55 MB  |
|    04    | FIGHTING OF ETERNITY                                         |   6:46   |  53 MB  |
|    05    | GLORY                                                        |   5:54   |  46 MB  |
|    06    | NEVER AGAIN                                                  |   7:42   |  59 MB  |
|    07    | THE FOLLOWERS                                                |   5:20   |  41 MB  |
|    08    | COME BACK TO ME AGAIN                                        |   6:16   |  48 MB  |
|    09    | REMAIN BEHIND                                                |   6:55   |  44 MB  |
|    10    | THE END OF THE LINE                                          |   10:12  |  77 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 2
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | STRUGGLE FOR THE FREEDOM FLAG                                |   6:14   |  48 MB  |
|    02    | POINT OF NO RETURN                                           |   6:33   |  50 MB  |
|    03    | FATE OF THE SADNESS                                          |   9:23   |  71 MB  |
|    04    | MY LAST FAREWELL                                             |   5:19   |  42 MB  |
|    05    | REBEL FLAG                                                   |   5:04   |  39 MB  |
|    06    | UNITED FLAG                                                  |   5:51   |  45 MB  |
|    07    | THE PROMISED FLAG                                            |   7:44   |  60 MB  |
|    08    | ANGEL OF SALVATION                                           |   17:36  |  133 MB |
|    09    | DESTINY                                                      |   10:28  |  79 MB  |
|----------|--------------------------------------------------------------|----------|---------|

