GALNERYUS - REINCARNATION [2008] [Album] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Owari naki, kono uta                                         |   7:26   |  56 MB  |
|    02    | BLAST OF HELL                                                |   6:18   |  48 MB  |
|    03    | BLAME YOURSELF                                               |   7:40   |  55 MB  |
|    04    | SHINING MOMENTS                                              |   4:37   |  34 MB  |
|    05    | AGAINST THE DOMINATION                                       |   4:33   |  35 MB  |
|    06    | WIND OF CHANGE                                               |   7:16   |  55 MB  |
|    07    | NO EXIT                                                      |   6:22   |  47 MB  |
|    08    | STARDUST                                                     |   5:22   |  39 MB  |
|    09    | FACE TO THE REAL                                             |   6:59   |  51 MB  |
|    10    | SEASONS CRY                                                  |   5:58   |  44 MB  |
|    11    | FAIRY TALE                                                   |   6:04   |  42 MB  |
|    12    | THE FLAG OF REINCARNATION                                    |   8:50   |  65 MB  |
|----------|--------------------------------------------------------------|----------|---------|

