GALNERYUS - THE FLAG OF PUNISHMENT [2003] [Album] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | MEDITATION FOR THE SAGA                                      |   1:48   |  14 MB  |
|    02    | STRUGGLE FOR THE FREEDOM FLAG                                |   5:38   |  46 MB  |
|    03    | BEYOND OF THE GROUND                                         |   3:53   |  32 MB  |
|    04    | IN THE DELIGHT                                               |   4:54   |  41 MB  |
|    05    | REBEL FLAG                                                   |   4:24   |  35 MB  |
|    06    | REQUIEM                                                      |   5:15   |  38 MB  |
|    07    | HOLDING THE BROKEN WINGS                                     |   6:57   |  56 MB  |
|    08    | CHILD OF FREE                                                |   4:41   |  37 MB  |
|    09    | FINAL RESOLUTION                                             |   5:43   |  45 MB  |
|    10    | THE GARDEN OF THE GODDESS                                    |   6:36   |  51 MB  |
|    11    | UNITED FLAG                                                  |   5:57   |  48 MB  |
|----------|--------------------------------------------------------------|----------|---------|

