GALNERYUS - THE IRONHEARTED FLAG VOL.1 - REGENERATION SIDE [2013] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | BRAVING FLAG                                                 |   5:28   |  41 MB  |
|    02    | REBEL FLAG                                                   |   4:23   |  34 MB  |
|    03    | POINT OF NO RETURN                                           |   6:10   |  47 MB  |
|    04    | FATE OF THE SADNESS                                          |   6:56   |  52 MB  |
|    05    | MY LAST FAREWELL                                             |   5:06   |  40 MB  |
|    06    | SHIVER                                                       |   7:12   |  55 MB  |
|    07    | QUIET WISH                                                   |   5:48   |  45 MB  |
|    08    | UNITED FLAG                                                  |   5:50   |  45 MB  |
|    09    | THE FLAG OF REINCARNATION                                    |   9:05   |  67 MB  |
|    10    | SILENT REVELATION                                            |   6:42   |  49 MB  |
|----------|--------------------------------------------------------------|----------|---------|

