GALNERYUS - THE IRONHEARTED FLAG VOL.2 - REFORMATION SIDE [2013] [Album] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | RISE UP (THE LEGENDARY PANTHEON) (NEW LEGEND)                |   6:36   |  47 MB  |
|    02    | THE SIGN OF THE NEXT GENERATION (SIGN OF REVOLUTION)         |   5:48   |  44 MB  |
|    03    | HALL OF SHAME (BLAME YOURSELF)                               |   7:03   |  53 MB  |
|    04    | WINGS OF MISERY (HOLDING THE BROKEN WINGS)                   |   6:53   |  51 MB  |
|    05    | THE END OF SORROW (THE AWAKENING)                            |   7:07   |  52 MB  |
|    06    | CRAWLING IN THE FATE (CAUSE DISARRAY)                        |   4:21   |  31 MB  |
|    07    | ALONE (CHASING THE WIND)                                     |   6:48   |  48 MB  |
|    08    | TOMORROW (SEASONS CRY)                                       |   6:01   |  44 MB  |
|    09    | EVEN IF THE DARKNESS COMES... (VANISHING HOPE)               |   5:19   |  39 MB  |
|    10    | THE DAY OF RETRIBUTION (SHRIEK OF THE VENGEANCE)             |   4:38   |  35 MB  |
|----------|--------------------------------------------------------------|----------|---------|

