GALNERYUS - THE RISING OF THE NEW LEGACY Pt. II TOUR 2024 (Live At TACHIKAWA STAGE GARDEN, Tokyo, 2024.12.22) [2025] [Live Album] [FLAC - WEB]

|----------|--------------------------------------------------------------------------|----------|---------|
|   TRACK  |                                   TITLE                                  | DURATION |   SIZE  |
|----------|--------------------------------------------------------------------------|----------|---------|
|    01    | THE REASON WE FIGHT (Live At TACHIKAWA STAGE GARDEN, Tokyo, 2024/12/22)  |   7:16   |  54 MB  |
|    02    | LOST IN THE DARKNESS (Live At TACHIKAWA STAGE GARDEN, Tokyo, 2024/12/22) |   4:53   |  36 MB  |
|    03    | FINALLY, IT COMES! (Live At TACHIKAWA STAGE GARDEN, Tokyo, 2024/12/22)   |   7:27   |  54 MB  |
|    04    | ALSATIA (Live At TACHIKAWA STAGE GARDEN, Tokyo, 2024/12/22)              |   6:32   |  48 MB  |
|    05    | IN WATER'S GAZE (Live At TACHIKAWA STAGE GARDEN, Tokyo, 2024/12/22)      |   9:30   |  67 MB  |
|    06    | CRYING FOR YOU (Live At TACHIKAWA STAGE GARDEN, Tokyo, 2024/12/22)       |   8:33   |  63 MB  |
|    07    | SCARS (Live At TACHIKAWA STAGE GARDEN, Tokyo, 2024/12/22)                |   6:04   |  44 MB  |
|    08    | VOICE IN SADNESS (Live At TACHIKAWA STAGE GARDEN, Tokyo, 2024/12/22)     |   6:14   |  46 MB  |
|    09    | I BELIEVE (Live At TACHIKAWA STAGE GARDEN, Tokyo, 2024/12/22)            |   11:19  |  79 MB  |
|    10    | HEARTLESS (Live At TACHIKAWA STAGE GARDEN, Tokyo, 2024/12/22)            |   8:46   |  65 MB  |
|    11    | Drum Solo (Live At TACHIKAWA STAGE GARDEN, Tokyo, 2024/12/22)            |   4:36   |  34 MB  |
|    12    | THE TIME HAS COME (Live At TACHIKAWA STAGE GARDEN, Tokyo, 2024/12/22)    |   5:59   |  44 MB  |
|    13    | ULTIMATE SACRIFICE (Live At TACHIKAWA STAGE GARDEN, Tokyo, 2024/12/22)   |   10:40  |  77 MB  |
|    14    | RAISE MY SWORD (Live At TACHIKAWA STAGE GARDEN, Tokyo, 2024/12/22)       |   9:19   |  68 MB  |
|    15    | DESTINY (Live At TACHIKAWA STAGE GARDEN, Tokyo, 2024/12/22)              |   8:51   |  64 MB  |
|----------|--------------------------------------------------------------------------|----------|---------|

