GALNERYUS - THE STARS WILL LIGHT THE WAY [2024] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | GO TOWARDS THE UTOPIA                                        |   2:36   |  20 MB  |
|    02    | THE REASON WE FIGHT                                          |   7:20   |  58 MB  |
|    03    | LOST IN THE DARKNESS                                         |   4:48   |  38 MB  |
|    04    | FINALLY, IT COMES!                                           |   6:08   |  47 MB  |
|    05    | IN WATER'S GAZE                                              |   8:22   |  62 MB  |
|    06    | HEARTLESS                                                    |   8:01   |  63 MB  |
|    07    | CRYING FOR YOU                                               |   7:04   |  56 MB  |
|    08    | VOICE IN SADNESS                                             |   6:16   |  49 MB  |
|    09    | I BELIEVE                                                    |   11:06  |  83 MB  |
|    10    | LIFE WILL GO ON                                              |   2:47   |  17 MB  |
|----------|--------------------------------------------------------------|----------|---------|

