GALNERYUS - UNION GIVES STRENGTH [2021] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | THE HOWLING DARKNESS                                         |   9:28   |  21 MB  |
|    02    | FLAMES OF RAGE                                               |   9:00   |  19 MB  |
|    03    | HOLD ON                                                      |   6:18   |  14 MB  |
|    04    | BLEEDING SANITY                                              |   5:11   |  11 MB  |
|    05    | SEE THE LIGHT OF FREEDOM                                     |   7:21   |  16 MB  |
|    06    | WHATEVER IT TAKES (Raise Our Hands!)                         |   8:48   |  19 MB  |
|    07    | DEEP AFFECTION (2021 Re-Recorded Version)                    |   7:17   |  15 MB  |
|    08    | EVERLASTING (2021 Re-Recorded Version)                       |   5:12   |  11 MB  |
|----------|--------------------------------------------------------------|----------|---------|

