GALNERYUS - VETELGYUS [2014] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | REDSTAR RISING                                               |   1:30   |  13 MB  |
|    02    | ENDLESS STORY                                                |   6:13   |  51 MB  |
|    03    | THERE'S NO ESCAPE                                            |   5:19   |  44 MB  |
|    04    | ULTIMATUM                                                    |   5:29   |  45 MB  |
|    05    | ENEMY TO INJUSTICE                                           |   7:20   |  59 MB  |
|    06    | THE JUDGEMENT DAY                                            |   7:42   |  61 MB  |
|    07    | VETELGYUS                                                    |   8:06   |  63 MB  |
|    08    | ATTITUDE TO LIFE                                             |   5:59   |  47 MB  |
|    09    | SECRET LOVE                                                  |   6:58   |  57 MB  |
|    10    | THE GUIDE                                                    |   5:14   |  44 MB  |
|    11    | I WISH                                                       |   6:29   |  54 MB  |
|    12    | THE VOYAGE                                                   |   4:58   |  34 MB  |
|----------|--------------------------------------------------------------|----------|---------|

