Ghost Bath - Self Loather [2021] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Convince Me to Bleed                                         |   3:40   |  31 MB  |
|    02    | Hide from the Sun                                            |   5:37   |  40 MB  |
|    03    | Shrines of Bone                                              |   4:14   |  31 MB  |
|    04    | Sanguine Mask                                                |   6:11   |  46 MB  |
|    05    | A Crystal Lattice                                            |   4:38   |  37 MB  |
|    06    | Sinew and Vein                                               |   3:48   |  32 MB  |
|    07    | I Hope Death Finds Me Well                                   |   4:41   |  25 MB  |
|    08    | For It Is a Veil                                             |   5:47   |  45 MB  |
|    09    | Unbearable                                                   |   4:14   |  31 MB  |
|    10    | Flickering Wicks of Black                                    |   2:58   |  24 MB  |
|----------|--------------------------------------------------------------|----------|---------|

