Helevorn - Compassion Forlorn [2014] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | The Inner Crumble                                            |   6:51   |  46 MB  |
|    02    | Burden Me                                                    |   5:02   |  38 MB  |
|    03    | Looters                                                      |   5:55   |  44 MB  |
|    04    | Unified                                                      |   5:14   |  39 MB  |
|    05    | Delusive Eyes                                                |   6:47   |  49 MB  |
|    06    | I Am To Blame                                                |   4:49   |  37 MB  |
|    07    | Reason Dies Last                                             |   7:58   |  58 MB  |
|    08    | Els Dies Tranquils                                           |   6:36   |  44 MB  |
|----------|--------------------------------------------------------------|----------|---------|

