Ignea - The Sign of Faith [2017] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Şeytanu Akbar                                                |   4:40   |  36 MB  |
|    02    | Alexandria                                                   |   3:57   |  33 MB  |
|    03    | Petrichor                                                    |   3:32   |  30 MB  |
|    04    | Theatre of Denial                                            |   4:18   |  34 MB  |
|    05    | Jahi                                                         |   7:36   |  60 MB  |
|    06    | Halves Rupture                                               |   4:04   |  33 MB  |
|    07    | Last Chosen by You                                           |   2:57   |  25 MB  |
|    08    | Alga                                                         |   6:17   |  50 MB  |
|    09    | How I Hate the Night                                         |   3:21   |  25 MB  |
|    10    | Leviathan                                                    |   4:53   |  40 MB  |
|    11    | Sputnik (Xes Dreams Version)                                 |   2:52   |  17 MB  |
|----------|--------------------------------------------------------------|----------|---------|

