Imperial Circus Dead Decadence - Kuruoshiku Saita Seisan na Mukuro wa Kanade, Itooshiku Saita Shoujo wa Seisan no Uta wo Utau [2011] [Album] [24-44 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Danshou wo Tsumugu Jokyoku                                   |   3:25   |  41 MB  |
|    02    | Gekiai no Yobigoe ga Dekiai no Kyousei wo Kurau              |   6:42   |  87 MB  |
|    03    | Jashin no Konrei, Gi wa Ai to Shiru                          |   5:01   |  67 MB  |
|    04    | Chinurareta Shuuren ni Fukeru Houmura                        |   8:03   |  104 MB |
|    05    | Kataritsugareru Hiai                                         |   1:31   |  16 MB  |
|    06    | Zankokusa wa Sono Nakigara wo Namerazaru                     |   4:23   |  56 MB  |
|    07    | Shakunetsu no Rengoku ni Bara wa...                          |   3:40   |  47 MB  |
|    08    | Haishita Shoujo wa, Haiyoru Konton to Kaikousu               |   6:17   |  82 MB  |
|    09    | Ankoku no Joukaku ni Shinkousaru Igyou no Kyouki             |   5:05   |  66 MB  |
|    10    | Uta                                                          |   9:02   |  114 MB |
|    11    | Ingaritsu no Togabito, Kyoukaimenjou no Unmei                |   5:49   |  75 MB  |
|----------|--------------------------------------------------------------|----------|---------|

