Imperial Circus Dead Decadence - Mogari - Shi e Fukeru Omoi wa Rikujoku Sura Kurai, Kanata no Sei wo Aisuru Tame ni Inochi wo Tataeru [2022] [Album] [24-48 ALAC - WEB]

|----------|------------------------------------------------------------------------------------|----------|---------|
|   TRACK  |                                        TITLE                                       | DURATION |   SIZE  |
|----------|------------------------------------------------------------------------------------|----------|---------|
|    01    | Misogibarai no Kamiumi wa Notamai, Magabarai no Shokuzai wa Chikau (feat. Aramary) |   8:08   |  113 MB |
|    02    | YoRHa: Tsumi to Batsu no Rasen                                                     |   5:11   |  73 MB  |
|    03    | Fushoku Ressentiment, Fushi Yoku no Sarugakuza                                     |   7:09   |  98 MB  |
|    04    | Goku                                                                               |   4:44   |  66 MB  |
|    05    | Hyakki Yakou -Pandemonic Night Parade-                                             |   5:20   |  75 MB  |
|    06    | BRING+EYES=DEATH+INVITE                                                            |   5:30   |  76 MB  |
|    07    | Shinbatsu wo Tadori Kyoukotsu ni Itaru                                             |   4:27   |  61 MB  |
|    08    | Kuroki Sakura wa Ai∴Sono Shi wo Kou (feat. The Herb Shop)                          |   5:00   |  69 MB  |
|    09    | Bunretsu Shita Douke to≒Hakkyou no Shuudoujo (feat. Yuto Iizuka)                   |   4:14   |  59 MB  |
|    10    | Yomi Yori Kikoyu, Koukoku no Hi to Honoo no Shoujo -Mogari-                        |   8:17   |  114 MB |
|    11    | Hitsuu Naru Kyouon wa Kanashiki Kaigou mode:α (feat. Yuto Iizuka)                  |   3:44   |  51 MB  |
|    12    | Hitsuu Naru Kyouon wa Kanashiki Kaigou mode:Ω                                      |   4:32   |  63 MB  |
|    13    | Tensei (feat. Koiwai Kotori)                                                       |   5:48   |  80 MB  |
|----------|------------------------------------------------------------------------------------|----------|---------|

