Issues - Issues [2013] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Sad Ghost                                                    |   4:30   |  33 MB  |
|    02    | Mad At Myself                                                |   3:50   |  31 MB  |
|    03    | Life of a Nine                                               |   3:13   |  26 MB  |
|    04    | The Langdon House                                            |   3:56   |  31 MB  |
|    05    | Late                                                         |   3:33   |  28 MB  |
|    06    | Old Dena (By Scout)                                          |   1:35   |  10 MB  |
|    07    | Stingray Affliction                                          |   3:37   |  29 MB  |
|    08    | Never Lose Your Flames                                       |   3:41   |  29 MB  |
|    09    | Personality Cult                                             |   3:52   |  30 MB  |
|    10    | Tears On the Runaway, Pt. 2 (feat. Nylo)                     |   3:33   |  27 MB  |
|    11    | The Settlement                                               |   2:31   |  20 MB  |
|    12    | Disappear (Remember When)                                    |   5:23   |  40 MB  |
|----------|--------------------------------------------------------------|----------|---------|

