Janne Da Arc - 10th Anniversary Indies Complete Box [2006] [Best Album] [FLAC - CD]

Dearly [1998] [EP] [FLAC - CD]
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | [SE]                                                         |   0:50   |  03 MB  |
|    02    | Fantasia                                                     |   5:36   |  44 MB  |
|    03    | Judgement Shinigami no Kiss                                  |   5:58   |  45 MB  |
|    04    | More Deep                                                    |   4:40   |  37 MB  |
|    05    | So Blew                                                      |   5:31   |  43 MB  |
|    06    | Confusion                                                    |   5:02   |  41 MB  |
|    07    | Speed                                                        |   3:19   |  26 MB  |
|    08    | Yami no Tsuki wo Anata ni...                                 |   6:14   |  47 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Resist [1998] [EP] [FLAC - CD]
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | ICE                                                          |   4:54   |  38 MB  |
|    02    | Resistance                                                   |   5:12   |  40 MB  |
|    03    | Misty Land                                                   |   4:41   |  35 MB  |
|    04    | Hunting                                                      |   5:19   |  41 MB  |
|    05    | Lady                                                         |   5:16   |  41 MB  |
|    06    | Stare                                                        |   4:22   |  35 MB  |
|----------|--------------------------------------------------------------|----------|---------|

CHAOS MODE 10th Anniversary Version [1999] [EP] [FLAC - CD]
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Desperate                                                    |   5:27   |  40 MB  |
|    02    | R-TYPE Hitomi no Iro                                         |   4:31   |  33 MB  |
|    03    | Psycho Dance                                                 |   4:58   |  36 MB  |
|    04    | ....song                                                     |   5:43   |  40 MB  |
|    05    | Labyrinth                                                    |   4:16   |  32 MB  |
|    06    | Strange Voice                                                |   4:57   |  35 MB  |
|    07    | MISTAKE                                                      |   2:49   |  21 MB  |
|    08    | JESUS CHRIST                                                 |   4:23   |  32 MB  |
|----------|--------------------------------------------------------------|----------|---------|
