Janne Da Arc - ANOTHER STORY [2003] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | 1-5 no Otobako                                               |   0:43   |  03 MB  |
|    02    | in the story                                                 |   4:51   |  37 MB  |
|    03    | Maria no Tsumeato                                            |   4:38   |  35 MB  |
|    04    | OASIS                                                        |   4:17   |  33 MB  |
|    05    | Akai Tsuki                                                   |   4:00   |  30 MB  |
|    06    | Ubawareta Chie                                               |   0:16   |  02 MB  |
|    07    | suicide note                                                 |   3:24   |  25 MB  |
|    08    | What's Up!                                                   |   4:58   |  36 MB  |
|    09    | PARADISE                                                     |   3:57   |  30 MB  |
|    10    | explosion                                                    |   4:08   |  31 MB  |
|    11    | Kasumiyuku Sora Se ni Shite                                  |   3:38   |  27 MB  |
|    12    | Vampire                                                      |   4:21   |  33 MB  |
|    13    | Shoujo to Koori no Joou                                      |   0:49   |  03 MB  |
|    14    | rasen                                                        |   5:35   |  41 MB  |
|    15    | Rainy ~Ai no Shirabe~                                        |   7:57   |  56 MB  |
|    16    | Shining ray                                                  |   3:58   |  30 MB  |
|----------|--------------------------------------------------------------|----------|---------|
