Janne Da Arc - GAIA [2002] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | GAIA                                                         |   4:14   |  28 MB  |
|    02    | Cell                                                         |   4:41   |  36 MB  |
|    03    | sister                                                       |   4:27   |  34 MB  |
|    04    | feel the wind                                                |   4:45   |  36 MB  |
|    05    | curse                                                        |   3:50   |  28 MB  |
|    06    | GUILTY PAIN                                                  |   4:27   |  32 MB  |
|    07    | ZERO                                                         |   2:03   |  12 MB  |
|    08    | still                                                        |   5:00   |  38 MB  |
|    09    | AGE                                                          |   3:59   |  28 MB  |
|    10    | seed                                                         |   4:01   |  30 MB  |
|    11    | Plastic                                                      |   5:23   |  37 MB  |
|    12    | Sylvia                                                       |   5:05   |  37 MB  |
|----------|--------------------------------------------------------------|----------|---------|

