Janne Da Arc - JOKER [2005] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | in silence                                                   |   4:18   |  33 MB  |
|    02    | Tsumetai Kagerou                                             |   4:00   |  32 MB  |
|    03    | Gekkouka                                                     |   4:56   |  37 MB  |
|    04    | D DROP                                                       |   3:51   |  31 MB  |
|    05    | HELL or HEAVEN ~Itoshi no Psycho Breaker~                    |   3:36   |  30 MB  |
|    06    | Kamen                                                        |   3:21   |  24 MB  |
|    07    | I'm so Happy                                                 |   4:50   |  38 MB  |
|    08    | WILD FANG                                                    |   4:17   |  36 MB  |
|    09    | easy funky crazy                                             |   4:41   |  36 MB  |
|    10    | Mr. Trouble Maker                                            |   4:02   |  32 MB  |
|    11    | Love is Here                                                 |   4:15   |  35 MB  |
|    12    | Kaze ni Notte                                                |   5:48   |  43 MB  |
|    13    | Diamond Virgin                                               |   4:35   |  38 MB  |
|----------|--------------------------------------------------------------|----------|---------|

