Janne Da Arc - SINGLES 2 (Regular Edition) [2007] [Best Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | FREEDOM                                                      |   5:11   |  41 MB  |
|    02    | Kiss Me                                                      |   4:41   |  37 MB  |
|    03    | DOLLS                                                        |   5:01   |  37 MB  |
|    04    | ROMANCE                                                      |   4:41   |  37 MB  |
|    05    | BLACK JACK                                                   |   4:08   |  31 MB  |
|    06    | Love is Here                                                 |   4:15   |  36 MB  |
|    07    | Gekkouka                                                     |   4:56   |  38 MB  |
|    08    | Diamond Virgin                                               |   4:34   |  36 MB  |
|    09    | Furimukeba...                                                |   4:49   |  36 MB  |
|    10    | Destination                                                  |   4:02   |  33 MB  |
|    11    | HEAVEN                                                       |   4:28   |  35 MB  |
|    12    | Mobius                                                       |   4:05   |  32 MB  |
|----------|--------------------------------------------------------------|----------|---------|

