Janne Da Arc - SINGLES [2003] [Best Album] [FLAC - CD]

DISC 1
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | RED ZONE                                                     |   4:12   |  35 MB  |
|    02    | Lunatic Gate                                                 |   4:28   |  35 MB  |
|    03    | EDEN ~Kimi ga Inai~                                          |   5:00   |  40 MB  |
|    04    | Heaven's Place (Single Edit from D.N.A)                      |   6:41   |  53 MB  |
|    05    | will ~Chizu ni Nai Basho~                                    |   6:19   |  48 MB  |
|    06    | Mysterious                                                   |   4:13   |  34 MB  |
|    07    | Dry?                                                         |   3:52   |  31 MB  |
|    08    | NEO VENUS                                                    |   4:33   |  38 MB  |
|    09    | seed                                                         |   4:02   |  33 MB  |
|    10    | Sylvia                                                       |   4:26   |  36 MB  |
|    11    | feel the wind                                                |   4:34   |  37 MB  |
|    12    | Shining ray                                                  |   4:00   |  32 MB  |
|    13    | Maria no Tsumeato                                            |   4:38   |  38 MB  |
|    14    | Kasumiyuku Sora Se ni Shite                                  |   3:39   |  30 MB  |
|    15    | Rainy ~Ai no Shirabe~ (Single Version)                       |   4:56   |  39 MB  |
|----------|--------------------------------------------------------------|----------|---------|

DISC 2
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Ueta Taiyou (SINGLES Mix)                                    |   4:17   |  35 MB  |
|    02    | Legend of ~                                                  |   7:06   |  53 MB  |
|----------|--------------------------------------------------------------|----------|---------|

