Janne Da Arc - Z-HARD [2001] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Nightmare                                                    |   0:52   |  06 MB  |
|    02    | Kyuuseishu Messiah                                           |   4:41   |  37 MB  |
|    03    | Prism                                                        |   3:39   |  29 MB  |
|    04    | Dry?                                                         |   3:54   |  31 MB  |
|    05    | 7-seven-                                                     |   4:09   |  33 MB  |
|    06    | NEO VENUS                                                    |   4:31   |  37 MB  |
|    07    | will ~Chizu ni Nai Basyo~                                    |   6:10   |  46 MB  |
|    08    | WARNING                                                      |   4:12   |  33 MB  |
|    09    | Liar                                                         |   4:05   |  33 MB  |
|    10    | Dear my...                                                   |   4:12   |  26 MB  |
|    11    | Mysterious                                                   |   4:13   |  34 MB  |
|----------|--------------------------------------------------------------|----------|---------|

