Jupiter - Classical Element [2013] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Introduction                                                 |   1:57   |  14 MB  |
|    02    | Blessing of the Future (Remix)                               |   6:03   |  46 MB  |
|    03    | Decadence                                                    |   5:32   |  42 MB  |
|    04    | RHYTHMOS                                                     |   4:34   |  34 MB  |
|    05    | Scarlet                                                      |   4:44   |  38 MB  |
|    06    | Nostalgie                                                    |   5:06   |  37 MB  |
|    07    | Heaven's Atlas                                               |   4:19   |  33 MB  |
|    08    | ALLEGORY CAVE                                                |   3:50   |  29 MB  |
|    09    | Symmetry Breaking                                            |   6:43   |  52 MB  |
|    10    | forever with you                                             |   5:36   |  40 MB  |
|    11    | Atmosphere                                                   |   5:30   |  41 MB  |
|    12    | Classical Element                                            |   12:00  |  88 MB  |
|    13    | Conclusion                                                   |   1:30   |  10 MB  |
|----------|--------------------------------------------------------------|----------|---------|

