KAMIJO - OSCAR (Limited Edition) [2022] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | AGENDA (Instrumental)                                        |   3:42   |  29 MB  |
|    02    | Habsburg (Instrumental)                                      |   4:11   |  33 MB  |
|    03    | SHADOW OF OSCAR (Instrumental)                               |   4:24   |  35 MB  |
|    04    | Symbol of The Dragon (Instrumental)                          |   4:35   |  35 MB  |
|    05    | Beautiful Rock'n Roll (Instrumental)                         |   4:02   |  33 MB  |
|    06    | Behind The Mask (Instrumental)                               |   5:47   |  42 MB  |
|    07    | fairytale (Instrumental)                                     |   4:39   |  34 MB  |
|    08    | Persona Grata (Instrumental)                                 |   5:09   |  36 MB  |
|    09    | Eye of Providence (Instrumental)                             |   4:13   |  33 MB  |
|    10    | TEMPLE ~Mayonaka ni Saita Bara~ (Instrumental)               |   4:29   |  35 MB  |
|    11    | OSCAR (Instrumental)                                         |   4:56   |  38 MB  |
|    12    | Avec toi ~Kimi to Tomoni~ (Instrumental)                     |   5:01   |  38 MB  |
|    13    | NOBLESS OBLIGE (Instrumental)                                |   5:56   |  48 MB  |
|----------|--------------------------------------------------------------|----------|---------|

