KAMIJO - OSCAR (Regular Edition) [2022] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | AGENDA                                                       |   3:41   |  29 MB  |
|    02    | Habsburg                                                     |   4:11   |  34 MB  |
|    03    | SHADOW OF OSCAR                                              |   4:24   |  36 MB  |
|    04    | Symbol of The Dragon                                         |   4:33   |  36 MB  |
|    05    | Beautiful Rock'n Roll                                        |   4:02   |  34 MB  |
|    06    | Behind The Mask                                              |   5:46   |  44 MB  |
|    07    | fairytale                                                    |   4:37   |  36 MB  |
|    08    | Persona Grata                                                |   5:09   |  37 MB  |
|    09    | Eye of Providence                                            |   4:14   |  34 MB  |
|    10    | TEMPLE ~Mayonaka ni Saita Bara~                              |   4:26   |  36 MB  |
|    11    | OSCAR                                                        |   4:53   |  39 MB  |
|    12    | Avec toi ~Kimi to Tomoni~                                    |   5:00   |  38 MB  |
|    13    | NOBLESS OBLIGE                                               |   5:55   |  48 MB  |
|----------|--------------------------------------------------------------|----------|---------|

