KAMIJO - Royal Blood ~Revival Best~ (Regular Edition) [2015] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Emblem                                                       |   1:00   |  07 MB  |
|    02    | Imperial Concerto                                            |   4:20   |  36 MB  |
|    03    | Bara wa Utsukushiku Chiru                                    |   2:59   |  25 MB  |
|    04    | Aristocrat’s Symphony                                        |   6:02   |  40 MB  |
|    05    | Chou no Hana                                                 |   4:07   |  31 MB  |
|    06    | Audrey                                                       |   3:59   |  29 MB  |
|    07    | Kono Yo de Ichiban Utsukushii Bara yo                        |   4:55   |  35 MB  |
|    08    | Fuyu Tokyo                                                   |   5:28   |  43 MB  |
|    09    | HEEL                                                         |   4:16   |  33 MB  |
|    10    | God Palace                                                   |   10:31  |  82 MB  |
|    11    | Royal Blood                                                  |   6:49   |  55 MB  |
|----------|--------------------------------------------------------------|----------|---------|

