KAMIJO - Sang (Regular Edition) [2018] [Album] [24-44 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Dead Set World                                               |   0:50   |  11 MB  |
|    02    | Theme of Sang                                                |   3:12   |  43 MB  |
|    03    | Nosferatu                                                    |   5:29   |  71 MB  |
|    04    | Bloodcast -Interlude-                                        |   0:38   |  09 MB  |
|    05    | Vampire Rock Star                                            |   3:31   |  47 MB  |
|    06    | Emigre                                                       |   4:43   |  62 MB  |
|    07    | Mystery                                                      |   3:40   |  48 MB  |
|    08    | mademoiselle                                                 |   3:58   |  49 MB  |
|    09    | Delta -Interlude-                                            |   0:31   |  06 MB  |
|    10    | Castrato                                                     |   5:53   |  77 MB  |
|    11    | Ambition -Interlude-                                         |   1:01   |  13 MB  |
|    12    | Sang Ⅰ                                                       |   5:00   |  66 MB  |
|    13    | Sang Ⅱ                                                       |   7:33   |  99 MB  |
|    14    | Sang Ⅲ                                                       |   6:05   |  76 MB  |
|----------|--------------------------------------------------------------|----------|---------|

