KAMIJO - Symphony of the Vampire (Type C) Vampire Stories (Original Soundtrack) [2014] [OST] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Escape                                                       |   0:51   |  05 MB  |
|    02    | Battle with the Mixed                                        |   0:37   |  03 MB  |
|    03    | Eyes of Ai                                                   |   0:25   |  02 MB  |
|    04    | At the Room                                                  |   2:43   |  09 MB  |
|    05    | Dream                                                        |   0:15   |  01 MB  |
|    06    | Usual                                                        |   1:10   |  04 MB  |
|    07    | Hide-Out                                                     |   1:17   |  06 MB  |
|    08    | False Face                                                   |   1:05   |  04 MB  |
|    09    | The Mixed                                                    |   0:27   |  02 MB  |
|    10    | Attack                                                       |   1:32   |  09 MB  |
|    11    | Confession                                                   |   2:54   |  16 MB  |
|    12    | Denial                                                       |   1:33   |  05 MB  |
|    13    | Calling                                                      |   2:15   |  13 MB  |
|    14    | Death of Midori                                              |   1:18   |  05 MB  |
|    15    | Brothers                                                     |   1:48   |  08 MB  |
|    16    | Heart                                                        |   0:41   |  03 MB  |
|    17    | Ooze Out                                                     |   1:15   |  04 MB  |
|    18    | Game                                                         |   0:34   |  03 MB  |
|    19    | Title of Vampire Stories                                     |   0:38   |  03 MB  |
|    20    | Approach                                                     |   0:42   |  03 MB  |
|    21    | Theme of Ai                                                  |   0:30   |  02 MB  |
|    22    | Recall                                                       |   1:15   |  06 MB  |
|    23    | Garlic                                                       |   0:46   |  03 MB  |
|    24    | Ringing                                                      |   0:24   |  02 MB  |
|    25    | Ruin                                                         |   1:08   |  05 MB  |
|    26    | Battle with the Mixed II                                     |   2:26   |  14 MB  |
|    27    | to Sei                                                       |   1:03   |  06 MB  |
|    28    | The Creature                                                 |   1:49   |  07 MB  |
|    29    | Think of Hisako                                              |   1:44   |  05 MB  |
|    30    | Departure                                                    |   1:36   |  09 MB  |
|    31    | Conflict                                                     |   0:55   |  05 MB  |
|    32    | Death of Asagi                                               |   1:18   |  07 MB  |
|----------|--------------------------------------------------------------|----------|---------|

