Kiryu - Meikyou Shisui [2010] [Album] [24-44 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Another Side (Re-recorded)                                   |   3:47   |  48 MB  |
|    02    | Mushi                                                        |   3:00   |  38 MB  |
|    03    | Onigokko                                                     |   3:58   |  52 MB  |
|    04    | Tsurezuregusa                                                |   4:03   |  53 MB  |
|    05    | Jubakuai                                                     |   4:42   |  57 MB  |
|    06    | Meikyou Shisui                                               |   5:06   |  64 MB  |
|    07    | Akaku Chiru Boku no Ao                                       |   4:53   |  63 MB  |
|    08    | Tsuki no Hime                                                |   4:50   |  59 MB  |
|    09    | Karasu                                                       |   3:25   |  43 MB  |
|    10    | Watashi. (Remix ver.)                                        |   3:18   |  43 MB  |
|    11    | Kase                                                         |   4:09   |  53 MB  |
|    12    | Saigo no Koi (Re-recorded)                                   |   4:56   |  62 MB  |
|----------|--------------------------------------------------------------|----------|---------|

