L'Arc~en~Ciel - BUTTERFLY (Deluxe Edition) [2012] [Album] [ALAC - WEB]

Disc 1
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | CHASE                                                        |   4:27   |  35 MB  |
|    02    | X X X                                                        |   4:05   |  34 MB  |
|    03    | Bye Bye                                                      |   3:36   |  28 MB  |
|    04    | GOOD LUCK MY WAY (BUTTERFLY Ver.)                            |   4:38   |  38 MB  |
|    05    | BLESS                                                        |   4:57   |  39 MB  |
|    06    | shade of season                                              |   4:11   |  32 MB  |
|    07    | DRINK IT DOWN                                                |   4:07   |  33 MB  |
|    08    | wild flower                                                  |   5:22   |  41 MB  |
|    09    | SHINE                                                        |   4:04   |  33 MB  |
|    10    | NEXUS 4                                                      |   3:52   |  30 MB  |
|    11    | Mirai Sekai                                                  |   3:19   |  24 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 2
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Natsu no Yuuutsu (SEA IN BLOOD 2007)                         |   4:08   |  33 MB  |
|    02    | Kasou (Heiseijuu Nananen)                                    |   4:34   |  36 MB  |
|    03    | HEAVEN'S DRIVE 2005                                          |   3:47   |  33 MB  |
|    04    | Round and Round 2005                                         |   3:34   |  29 MB  |
|    05    | Dune 2008                                                    |   4:08   |  35 MB  |
|    06    | I Wish 2007                                                  |   4:19   |  33 MB  |
|    07    | Promised land 2005                                           |   4:31   |  36 MB  |
|    08    | HONEY 2007                                                   |   3:42   |  31 MB  |
|    09    | Feeling Fine 2007                                            |   3:48   |  31 MB  |
|    10    | ROUTE 666 -2010-                                             |   3:41   |  30 MB  |
|    11    | milky way 2004                                               |   4:14   |  34 MB  |
|    12    | metropolis -2011-                                            |   4:10   |  35 MB  |
|----------|--------------------------------------------------------------|----------|---------|

