L'Arc~en~Ciel - BUTTERFLY (Remastered 2022) [2012] [Album] [24-96 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | CHASE (Remastered 2022)                                      |   4:27   |  106 MB |
|    02    | X X X (Remastered 2022)                                      |   4:05   |  94 MB  |
|    03    | Bye Bye (Remastered 2022)                                    |   3:36   |  82 MB  |
|    04    | GOOD LUCK MY WAY (BUTTERFLY Ver.) (Remastered 2022)          |   4:38   |  109 MB |
|    05    | BLESS (Remastered 2022)                                      |   4:57   |  113 MB |
|    06    | shade of season (Remastered 2022)                            |   4:11   |  96 MB  |
|    07    | DRINK IT DOWN (Remastered 2022)                              |   4:07   |  104 MB |
|    08    | wild flower (Remastered 2022)                                |   5:22   |  125 MB |
|    09    | SHINE (Remastered 2022)                                      |   4:04   |  100 MB |
|    10    | NEXUS 4 (Remastered 2022)                                    |   3:52   |  90 MB  |
|    11    | Mirai Sekai (Remastered 2022)                                |   3:19   |  75 MB  |
|----------|--------------------------------------------------------------|----------|---------|

